user_id,country,platform_tenure_days,last_30d_sessions,last_90d_spend,ps_plus_member,pre_30d_spend,spend_tier,engagement_tier,stratum,treatment,ps5_purchase_30d,revenue_60d,post_30d_sessions,unsubscribe_flag,optout_flag
70,US,3488,11,29.67,0,23.37,S2_mid,E3_high,S2_mid_E3_high,0,0,56.48,17,0,0
71,US,1369,8,87.06,0,31.02,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,3.84,13,0,0
72,US,1016,15,60.08,1,30.07,S3_high,E4_vhigh,S3_high_E4_vhigh,0,0,5.33,18,0,0
73,FR,352,5,111.63,1,42.61,S4_vhigh,E1_low,S4_vhigh_E1_low,1,1,200.27,4,0,0
74,US,221,6,44.1,0,13.51,S2_mid,E1_low,S2_mid_E1_low,1,0,13.86,4,0,0
75,US,740,11,43.36,0,12.6,S2_mid,E3_high,S2_mid_E3_high,0,0,33.74,11,0,0
76,US,2713,7,72.4,0,23.14,S3_high,E1_low,S3_high_E1_low,1,0,59.84,5,0,0
77,US,1000,13,41.77,1,11.83,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,75.35,14,0,0
78,UK,1674,8,134.1,0,25.79,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,1,153.8,11,0,0
79,CA,2424,5,9.33,0,13.82,S1_low,E1_low,S1_low_E1_low,0,0,37.54,5,0,0
80,DE,1241,12,30.95,0,16.18,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,0,2.28,8,0,0
81,UK,1504,9,101.06,0,34.83,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,32.48,14,0,0
82,US,1794,8,74.66,1,28.12,S3_high,E2_mid,S3_high_E2_mid,0,0,28.82,7,0,0
83,FR,3302,9,109.94,1,28.47,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,1,150.64,13,0,0
84,US,3396,8,149.78,0,50.76,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,50.31,9,0,1
85,US,1078,7,118.85,1,28.81,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,116.16,9,0,0
86,US,935,9,96.34,0,21.5,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,1,90.86,8,0,0
87,DE,1492,11,32.94,1,29.3,S2_mid,E3_high,S2_mid_E3_high,0,0,64.88,9,0,0
88,US,755,7,68.66,0,35.95,S3_high,E1_low,S3_high_E1_low,1,0,29.85,4,0,0
89,US,2087,13,80.03,0,19.99,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,1,154.09,8,0,0
90,US,1962,7,29.28,1,0.0,S2_mid,E1_low,S2_mid_E1_low,1,1,61.46,7,0,0
91,US,1715,7,32.15,1,9.28,S2_mid,E1_low,S2_mid_E1_low,1,1,101.41,13,0,0
92,UK,1707,8,154.14,0,27.83,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,40.08,10,0,0
93,US,3139,11,29.56,1,5.75,S2_mid,E3_high,S2_mid_E3_high,1,1,197.11,14,0,0
94,US,572,15,82.49,1,22.2,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,1,155.98,19,0,0
95,US,2804,6,26.33,1,5.01,S2_mid,E1_low,S2_mid_E1_low,0,0,21.51,3,0,0
96,UK,2131,9,92.94,0,26.28,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,26.37,14,0,0
97,US,2900,8,55.05,1,26.07,S3_high,E2_mid,S3_high_E2_mid,0,0,50.29,5,0,0
98,US,2109,9,156.64,0,26.47,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,7.52,9,0,0
99,US,2821,7,60.54,0,0.0,S3_high,E1_low,S3_high_E1_low,0,0,84.43,6,0,0
100,AU,2221,5,26.07,1,16.53,S2_mid,E1_low,S2_mid_E1_low,1,0,96.25,5,0,0
101,JP,2607,8,34.02,0,25.75,S2_mid,E2_mid,S2_mid_E2_mid,0,0,47.06,16,0,0
102,UK,1527,7,94.82,0,27.55,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,30.66,9,0,0
103,US,3266,11,13.66,1,21.06,S1_low,E3_high,S1_low_E3_high,0,0,36.68,8,0,0
104,AU,1079,13,50.77,0,9.15,S3_high,E4_vhigh,S3_high_E4_vhigh,0,0,58.62,13,0,0
105,DE,2626,8,213.24,1,44.71,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,1,206.56,11,0,0
106,UK,1218,12,51.08,0,2.22,S3_high,E4_vhigh,S3_high_E4_vhigh,0,0,2.82,12,0,0
107,US,2894,17,37.2,1,22.69,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,42.66,18,0,0
108,US,3050,8,74.96,1,31.96,S3_high,E2_mid,S3_high_E2_mid,1,0,19.21,5,0,0
109,US,698,7,96.59,1,26.63,S4_vhigh,E1_low,S4_vhigh_E1_low,0,1,213.71,9,0,0
110,JP,2292,9,49.82,1,19.46,S3_high,E2_mid,S3_high_E2_mid,1,0,5.04,16,0,0
111,US,1941,13,92.74,0,15.36,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,162.8,15,0,0
112,US,1470,5,163.12,1,44.95,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,51.13,6,0,0
113,US,1040,10,13.2,0,23.54,S1_low,E3_high,S1_low_E3_high,0,0,18.83,5,0,0
114,CA,2250,9,80.54,0,28.91,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,26.49,7,0,0
115,US,3011,9,31.45,0,2.9,S2_mid,E2_mid,S2_mid_E2_mid,0,0,0.0,12,0,0
116,FR,1295,8,114.73,1,42.99,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,32.59,7,0,0
117,DE,1239,4,64.89,1,22.69,S3_high,E1_low,S3_high_E1_low,1,0,32.47,4,0,0
118,UK,3152,12,32.51,0,15.98,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,88.06,9,0,0
119,US,2764,10,64.77,0,35.06,S3_high,E3_high,S3_high_E3_high,1,0,128.08,11,0,0
120,UK,2664,2,164.92,0,36.15,S4_vhigh,E1_low,S4_vhigh_E1_low,0,1,154.29,3,0,0
121,CA,2173,13,141.9,0,37.32,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,103.24,14,0,0
122,UK,395,16,11.35,1,0.0,S1_low,E4_vhigh,S1_low_E4_vhigh,0,0,0.0,17,0,0
123,US,574,9,68.57,0,29.1,S3_high,E2_mid,S3_high_E2_mid,1,0,16.43,8,0,0
124,US,233,14,27.82,1,2.82,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,1,17.56,19,0,0
125,US,1167,10,76.87,1,19.25,S4_vhigh,E3_high,S4_vhigh_E3_high,0,0,15.86,9,0,0
126,US,150,9,46.4,1,14.31,S3_high,E2_mid,S3_high_E2_mid,1,0,47.27,9,0,0
127,US,1735,10,13.36,1,11.35,S1_low,E3_high,S1_low_E3_high,1,1,244.21,21,0,0
128,US,129,11,26.94,1,7.27,S2_mid,E3_high,S2_mid_E3_high,0,1,150.39,16,0,0
129,US,3633,5,116.86,0,25.98,S4_vhigh,E1_low,S4_vhigh_E1_low,1,1,134.2,8,0,0
130,CA,1828,8,12.76,0,10.89,S1_low,E2_mid,S1_low_E2_mid,1,0,52.57,5,0,0
131,US,76,3,6.96,0,7.85,S1_low,E1_low,S1_low_E1_low,1,0,23.61,3,0,0
132,JP,684,8,42.07,0,19.7,S2_mid,E2_mid,S2_mid_E2_mid,0,0,7.61,17,0,0
133,CA,709,11,91.02,0,45.45,S4_vhigh,E3_high,S4_vhigh_E3_high,0,0,48.45,10,0,0
134,US,2471,13,100.15,0,20.23,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,42.6,19,0,0
135,CA,2817,6,52.94,0,19.68,S3_high,E1_low,S3_high_E1_low,1,1,156.99,11,0,0
136,US,1777,7,40.6,1,21.22,S2_mid,E1_low,S2_mid_E1_low,1,0,0.0,11,0,0
137,JP,2661,16,30.09,1,3.78,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,1,102.34,23,0,0
138,US,368,8,81.21,0,14.79,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,13.97,10,0,0
139,DE,1165,4,47.83,0,14.7,S3_high,E1_low,S3_high_E1_low,0,0,19.77,3,0,0
140,US,51,11,14.97,0,14.94,S1_low,E3_high,S1_low_E3_high,1,0,68.12,10,0,0
141,US,1504,8,86.79,1,17.74,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,16.85,6,0,0
142,US,162,8,107.3,1,41.23,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,56.47,12,0,0
143,JP,2893,13,79.62,1,5.47,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,0,20.62,8,0,0
144,CA,1960,10,124.37,1,34.59,S4_vhigh,E3_high,S4_vhigh_E3_high,1,0,11.89,5,0,1
145,US,2756,6,41.21,1,9.29,S2_mid,E1_low,S2_mid_E1_low,1,0,56.83,8,0,0
146,US,2153,10,42.3,0,0.54,S2_mid,E3_high,S2_mid_E3_high,0,0,27.01,13,0,0
147,US,165,7,4.22,1,11.91,S1_low,E1_low,S1_low_E1_low,0,0,0.0,6,0,0
148,US,1307,8,63.78,0,12.84,S3_high,E2_mid,S3_high_E2_mid,0,0,33.96,12,0,0
149,US,74,10,18.66,1,0.0,S1_low,E3_high,S1_low_E3_high,0,0,85.66,15,0,0
150,US,315,10,28.48,1,1.98,S2_mid,E3_high,S2_mid_E3_high,1,0,63.2,8,0,0
151,FR,3433,11,20.23,1,3.31,S1_low,E3_high,S1_low_E3_high,1,0,54.57,8,0,0
152,JP,3413,12,4.52,1,0.0,S1_low,E4_vhigh,S1_low_E4_vhigh,0,0,29.75,14,0,0
153,US,463,12,46.75,0,13.24,S3_high,E4_vhigh,S3_high_E4_vhigh,1,0,11.1,17,0,0
154,CA,1498,12,141.52,0,39.66,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,48.05,17,0,0
155,US,1075,6,86.41,1,22.08,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,26.92,4,0,0
156,UK,1584,8,43.83,0,18.36,S2_mid,E2_mid,S2_mid_E2_mid,0,0,20.06,10,0,1
157,US,2237,12,18.63,1,16.09,S1_low,E4_vhigh,S1_low_E4_vhigh,1,1,233.19,15,0,0
158,UK,1410,5,44.11,0,8.34,S2_mid,E1_low,S2_mid_E1_low,0,0,0.0,5,0,0
159,DE,2970,7,104.11,0,20.92,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,3.98,9,0,0
160,DE,245,8,78.11,1,25.91,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,43.29,9,0,0
161,US,2142,8,90.09,0,13.76,S4_vhigh,E2_mid,S4_vhigh_E2_mid,1,0,45.7,9,0,0
162,JP,2601,8,11.43,1,4.67,S1_low,E2_mid,S1_low_E2_mid,0,0,0.0,11,0,0
163,US,2040,7,10.2,0,7.72,S1_low,E1_low,S1_low_E1_low,0,0,44.91,6,0,0
164,US,2436,5,67.98,0,15.92,S3_high,E1_low,S3_high_E1_low,0,0,5.87,7,0,0
165,CA,2270,12,34.92,1,22.8,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,1,92.09,18,0,1
166,US,625,11,7.57,0,26.98,S1_low,E3_high,S1_low_E3_high,1,0,67.16,13,0,0
167,FR,2887,4,22.84,1,15.07,S1_low,E1_low,S1_low_E1_low,0,1,149.62,5,0,0
168,FR,1002,15,28.06,0,20.7,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,0,24.72,21,0,0
169,US,674,15,48.68,1,16.35,S3_high,E4_vhigh,S3_high_E4_vhigh,1,0,33.96,9,0,0
170,JP,2009,8,77.96,1,11.35,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,23.42,6,0,0
171,US,2329,13,26.29,0,7.74,S2_mid,E4_vhigh,S2_mid_E4_vhigh,0,0,4.67,14,0,0
172,US,1393,8,8.32,1,0.0,S1_low,E2_mid,S1_low_E2_mid,1,0,3.11,7,0,0
173,US,249,8,74.83,0,29.09,S3_high,E2_mid,S3_high_E2_mid,0,0,62.66,9,0,0
174,JP,3642,5,13.72,0,12.46,S1_low,E1_low,S1_low_E1_low,1,0,30.31,5,0,0
175,US,2973,8,11.01,1,0.0,S1_low,E2_mid,S1_low_E2_mid,1,0,0.0,10,0,0
176,US,1827,7,64.96,0,34.67,S3_high,E1_low,S3_high_E1_low,1,0,28.76,9,0,0
177,US,1294,9,95.05,0,45.36,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,114.26,11,0,0
178,AU,3223,7,53.78,1,7.83,S3_high,E1_low,S3_high_E1_low,1,0,11.74,5,0,0
179,JP,1314,9,87.59,0,33.67,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,1,121.18,18,0,0
180,DE,770,16,80.12,1,24.85,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,0,0.0,13,0,0
181,JP,942,9,42.97,1,2.72,S2_mid,E2_mid,S2_mid_E2_mid,0,0,64.87,6,0,0
182,JP,2043,8,117.16,0,15.76,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,63.84,8,0,0
183,US,2733,10,71.77,0,32.45,S3_high,E3_high,S3_high_E3_high,1,0,20.56,8,0,0
184,US,1194,7,10.26,0,10.11,S1_low,E1_low,S1_low_E1_low,1,0,22.12,3,0,0
185,DE,728,10,26.05,0,13.34,S2_mid,E3_high,S2_mid_E3_high,1,0,78.26,15,0,0
186,UK,3412,11,5.96,0,0.61,S1_low,E3_high,S1_low_E3_high,1,1,54.6,19,0,0
187,US,380,10,65.83,1,19.9,S3_high,E3_high,S3_high_E3_high,0,0,50.91,15,0,0
188,US,2025,9,47.49,1,17.2,S3_high,E2_mid,S3_high_E2_mid,0,0,26.49,5,0,0
189,DE,673,10,80.51,0,17.67,S4_vhigh,E3_high,S4_vhigh_E3_high,0,0,0.0,11,0,0
190,US,2397,10,28.32,0,0.2,S2_mid,E3_high,S2_mid_E3_high,1,0,46.31,9,0,0
191,JP,1387,12,39.02,0,21.3,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,0,20.86,16,0,0
192,US,305,10,201.07,1,43.18,S4_vhigh,E3_high,S4_vhigh_E3_high,1,0,80.71,8,0,0
193,US,635,10,89.81,0,35.73,S4_vhigh,E3_high,S4_vhigh_E3_high,1,0,53.49,12,0,0
194,FR,1795,6,43.45,1,6.14,S2_mid,E1_low,S2_mid_E1_low,0,0,0.0,6,0,0
195,US,553,8,20.31,1,0.0,S1_low,E2_mid,S1_low_E2_mid,0,0,15.48,7,0,0
196,US,2127,12,77.49,1,16.44,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,53.06,12,0,0
197,CA,2928,8,72.43,1,16.87,S3_high,E2_mid,S3_high_E2_mid,0,0,0.0,8,0,0
198,JP,1081,7,210.94,1,48.37,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,107.25,4,0,0
199,US,3422,2,86.98,0,23.37,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,105.13,0,0,0
200,US,2693,10,19.78,1,22.56,S1_low,E3_high,S1_low_E3_high,0,0,36.49,14,0,0
201,DE,338,16,166.81,0,47.1,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,0,47.31,21,0,0
202,AU,1719,15,48.72,1,7.63,S3_high,E4_vhigh,S3_high_E4_vhigh,0,1,161.3,18,0,0
203,US,2035,8,46.81,0,4.12,S3_high,E2_mid,S3_high_E2_mid,0,0,12.68,5,0,0
204,US,2061,14,38.49,0,13.36,S2_mid,E4_vhigh,S2_mid_E4_vhigh,1,0,14.93,12,0,0
205,US,1697,9,37.28,0,7.37,S2_mid,E2_mid,S2_mid_E2_mid,0,0,1.36,5,0,0
206,US,1336,5,91.97,0,33.43,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,17.7,6,0,0
207,US,2089,9,30.49,0,14.03,S2_mid,E2_mid,S2_mid_E2_mid,0,0,17.94,12,0,0
208,UK,2478,9,15.89,0,5.08,S1_low,E2_mid,S1_low_E2_mid,0,0,35.44,11,0,0
209,US,3099,12,22.25,1,8.75,S1_low,E4_vhigh,S1_low_E4_vhigh,1,0,5.06,22,0,0
210,US,403,7,93.65,0,38.03,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,0.0,11,0,0
211,UK,531,12,45.56,1,20.29,S3_high,E4_vhigh,S3_high_E4_vhigh,1,1,192.38,15,0,0
212,CA,1862,9,113.97,0,34.05,S4_vhigh,E2_mid,S4_vhigh_E2_mid,0,0,44.02,9,0,0
213,US,1565,13,14.56,0,1.3,S1_low,E4_vhigh,S1_low_E4_vhigh,1,0,26.37,10,0,0
214,FR,3272,3,1.02,0,3.45,S1_low,E1_low,S1_low_E1_low,0,0,22.04,0,0,0
215,UK,2106,11,49.2,1,21.23,S3_high,E3_high,S3_high_E3_high,0,0,24.1,14,0,0
216,DE,881,6,19.38,0,0.0,S1_low,E1_low,S1_low_E1_low,1,0,41.92,3,0,0
217,US,3108,6,87.18,0,26.02,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,89.18,9,0,0
218,US,3173,7,105.57,1,29.59,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,24.08,5,0,0
219,JP,177,6,38.04,0,16.33,S2_mid,E1_low,S2_mid_E1_low,1,0,14.21,4,0,0
220,US,3233,7,96.34,0,28.24,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,0.0,8,0,0
221,US,1346,6,86.04,0,33.35,S4_vhigh,E1_low,S4_vhigh_E1_low,1,0,55.18,5,0,0
222,US,864,9,53.68,1,17.39,S3_high,E2_mid,S3_high_E2_mid,1,0,61.3,11,0,0
223,UK,447,9,59.82,1,13.06,S3_high,E2_mid,S3_high_E2_mid,1,0,36.42,9,0,0
224,JP,322,6,17.37,0,23.46,S1_low,E1_low,S1_low_E1_low,0,0,18.95,9,0,0
225,US,246,5,21.92,0,16.69,S1_low,E1_low,S1_low_E1_low,1,0,0.0,8,0,0
226,JP,2797,14,88.93,0,7.11,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,0,0,0.0,28,0,0
227,US,3303,11,9.97,1,7.11,S1_low,E3_high,S1_low_E3_high,0,0,50.68,13,0,0
228,CA,3500,11,209.0,0,47.21,S4_vhigh,E3_high,S4_vhigh_E3_high,0,0,44.31,6,0,0
229,UK,1877,11,71.58,0,28.78,S3_high,E3_high,S3_high_E3_high,0,1,122.91,15,0,0
230,US,955,9,41.05,0,17.42,S2_mid,E2_mid,S2_mid_E2_mid,0,1,63.95,9,0,0
231,US,3247,12,94.41,1,36.14,S4_vhigh,E4_vhigh,S4_vhigh_E4_vhigh,1,1,100.1,14,0,0
232,US,3335,8,23.0,0,14.12,S1_low,E2_mid,S1_low_E2_mid,0,0,35.85,6,0,0
233,AU,1481,11,16.71,0,6.69,S1_low,E3_high,S1_low_E3_high,1,0,26.61,16,0,0
234,CA,783,11,103.1,1,25.79,S4_vhigh,E3_high,S4_vhigh_E3_high,1,0,64.48,11,0,1
235,JP,3068,13,60.86,0,27.37,S3_high,E4_vhigh,S3_high_E4_vhigh,1,0,93.11,14,0,0
236,FR,1330,10,30.58,1,1.41,S2_mid,E3_high,S2_mid_E3_high,1,0,19.11,12,0,0
237,US,1972,6,69.99,0,17.12,S3_high,E1_low,S3_high_E1_low,0,1,141.39,4,0,0
238,DE,3236,6,80.2,0,22.58,S4_vhigh,E1_low,S4_vhigh_E1_low,0,0,24.61,11,0,0
239,US,632,11,6.13,1,9.22,S1_low,E3_high,S1_low_E3_high,0,0,32.99,9,0,0
